Запрос;Страница;Позиция;Базовая частотность;Точная частотность;Очень точная частотность;Эффективность ключевого слова;Количество слов в запросе;Количество объявлений;Документов найдено;Средняя цена клика;Является топонимом;Является вопросом;Число колдунщиков;Новый запрос;Изменение позиции;Смена URL;Дата выдачи;
"ремонт двигателей vag";"https://autosimvol.ru/";1;199;3;3;1;3;5;149000;6;0;0;1;0;0;0;"24.02.2026"
"ремонт vag";"https://autosimvol.ru/";1;2451;74;65;3;2;6;1000000;78;0;0;2;0;4;0;"11.04.2026"
"диагностика шкода октавия а7";"https://autosimvol.ru/skoda/remont-i-obsluzhivanie-skoda-octavia-a7/diagnostika";1;141;11;11;7;4;3;3000000;6;0;0;1;0;0;0;"19.02.2026"
"сервис шкода в москве клубный";"https://autosimvol.ru/";1;41;25;6;60;5;3;2000000;69;1;0;1;0;19;0;"13.04.2026"
"ремонт ауди q7";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-q7";1;898;13;10;1;3;5;3000000;138;0;0;3;0;18;0;"11.04.2026"
"то фольксваген тигуан в москве";"https://autosimvol.ru/volkswagen/remont-i-obsluzhivanie-vw-tiguan/tekhnicheskoe-obsluzhivanie";1;3;2;2;66;5;1;635000;122;1;0;0;0;0;0;"17.02.2026"
"то на фольксваген тигуан";"https://autosimvol.ru/volkswagen/remont-i-obsluzhivanie-vw-tiguan/tekhnicheskoe-obsluzhivanie";1;407;2;2;0;4;0;0;15;0;0;2;0;0;0;"16.02.2026"
"ремонт подвески ауди";"https://autosimvol.ru/audi/remont-podveski";1;197;3;2;1;3;1;1000000;88;0;0;2;0;0;0;"15.02.2026"
"техобслуживание ауди";"https://autosimvol.ru/audi/tekhnicheskoe-obsluzhivanie";1;124;7;6;5;2;1;862000;59;0;0;1;0;0;0;"17.02.2026"
"расчет ремонта автомобиля онлайн";"https://autosimvol.ru/kuzovnoj-kalkulyator";1;56;7;7;12;4;3;2000000;10;0;0;0;0;0;0;"21.02.2026"
"сервис ваг в москве лучший";"https://autosimvol.ru/";1;37;14;14;37;5;1;3000000;39;1;0;0;0;2;0;"24.04.2026"
"ремонт вага";"https://autosimvol.ru/";1;2123;4;4;0;2;4;79000;3;1;0;1;1;0;0;"21.04.2026"
"диагностика для ваг";"https://autosimvol.ru/";1;641;11;11;1;3;8;909000;4;0;0;1;1;0;0;"11.04.2026"
"ремонт ваг";"https://autosimvol.ru/";1;2123;62;48;2;2;3;1000000;141;0;0;3;0;7;0;"08.04.2026"
"профильный сервис ауди";"https://autosimvol.ru/";1;19;13;13;68;3;11;2000000;61;0;0;0;0;3;0;"11.04.2026"
"ваг сто";"https://autosimvol.ru/";1;408;24;9;5;2;0;923000;26;0;0;1;0;8;0;"07.04.2026"
"vag service в москве";"https://autosimvol.ru/";1;59;57;57;96;4;1;2000000;70;1;0;0;0;4;0;"04.04.2026"
"автосервис vag москва";"https://autosimvol.ru/";1;89;17;9;19;3;3;793000;107;1;0;1;0;6;0;"02.04.2026"
"ваг автосервис москва";"https://autosimvol.ru/";1;101;36;5;35;3;0;811000;60;1;0;0;0;0;0;"17.02.2026"
"детейлинг ауди";"https://autosimvol.ru/audi/detejling";1;96;16;16;16;2;1;1000000;8;0;0;0;0;17;0;"04.04.2026"
"диагностика ауди";"https://autosimvol.ru/audi/diagnostika";1;3738;151;144;4;2;1;991000;104;0;0;1;0;13;0;"25.04.2026"
"а4 ремонт";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-a4/remont-dvigatelya";1;3906;44;44;1;2;1;3000000;4;0;0;0;0;17;0;"23.04.2026"
"ремонт двигателя ауди а4";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-a4/remont-dvigatelya";1;138;10;9;7;4;1;4000000;74;0;0;1;0;0;0;"09.04.2026"
"замена цепи грм на ауди а4";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-a4/zamena-grm";1;34;2;2;5;6;0;338000;0;0;0;1;1;0;0;"22.04.2026"
"ауди а4 замена грм";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-a4/zamena-grm";1;1528;28;17;1;4;3;4000000;1;0;0;1;0;7;0;"15.04.2026"
"замена грм ауди а4";"https://autosimvol.ru/audi/remont-i-obsluzhivanie-audi-a4/zamena-grm";1;1693;25;8;1;4;0;0;3;0;0;2;0;1;0;"13.04.2026"
"бентли сервис";"https://autosimvol.ru/bentley";1;93;11;9;11;2;0;2000000;91;0;0;1;0;16;0;"15.04.2026"
"замена грм cdab";"https://autosimvol.ru/blog/proverka-ustanovki-cepi-grm-1.8-tsi";1;489;39;26;7;3;1;972000;5;0;0;1;0;15;0;"22.04.2026"
"то порше макан";"https://autosimvol.ru/porsche/remont-i-obsluzhivanie-porsche-macan/tekhnicheskoe-obsluzhivanie";1;123;1;1;0;3;0;2000000;96;0;0;1;0;11;0;"12.04.2026"
"замена лобового стекла шкода октавия а7";"https://autosimvol.ru/skoda/remont-i-obsluzhivanie-skoda-octavia-a7/zamena-stekol";1;67;10;10;14;6;1;2000000;10;0;0;1;0;15;0;"23.04.2026"
"кузовной ремонт фольксваген в москве";"https://autosimvol.ru/volkswagen/kuzovnoj-remont";1;25;15;15;59;5;1;1000000;175;1;0;0;0;30;0;"08.04.2026"
