Запрос;Страница;Позиция;Базовая частотность;Точная частотность;Очень точная частотность;Эффективность ключевого слова;Количество слов в запросе;Количество объявлений;Документов найдено;Средняя цена клика;Является топонимом;Является вопросом;Число колдунщиков;Новый запрос;Изменение позиции;Смена URL;Дата выдачи;
"ваг на талалихина";"https://vag-s.ru/";1;76;17;17;22;3;0;973000;2;0;0;1;0;0;0;"19.02.2026"
"ваг центр талалихина";"https://vag-s.ru/";1;18;13;13;72;3;0;1000000;1;0;0;1;0;0;0;"18.02.2026"
"ваг сервис талалихина 41 стр 2";"https://vag-s.ru/";1;182;11;11;6;6;1;4000000;5;0;0;0;0;0;0;"19.02.2026"
"ваг сервис на талалихина";"https://vag-s.ru/";1;51;38;38;74;4;0;2000000;36;0;0;1;0;0;0;"14.02.2026"
"ваг сервис 6 радиальная";"https://vag-s.ru/";1;124;14;14;11;4;0;3000000;23;0;0;0;0;0;0;"15.02.2026"
"ваг ру";"https://vag-s.ru/contacts";1;154;9;9;5;2;1;58000;0;0;0;0;0;0;0;"18.02.2026"
"vags";"https://vag-s.ru/online-entries";1;260489;2;2;0;1;1;77000;0;0;0;1;0;0;0;"02.02.2026"
"vag service";"https://vag-s.ru/";1;2259;383;376;16;2;1;1000000;71;0;0;1;0;0;0;"26.04.2026"
"vag s ru";"https://vag-s.ru/";1;34;21;21;61;3;1;2000000;4;0;0;0;0;0;0;"08.04.2026"
"ваг сервис";"https://vag-s.ru/";1;9448;1212;1089;12;2;1;1000000;82;0;0;0;0;0;0;"26.04.2026"
"service vag";"https://vag-s.ru/";1;2259;383;7;16;2;1;2000000;71;0;0;0;0;0;0;"09.04.2026"
"vag s";"https://vag-s.ru/";1;506;60;36;11;2;0;5000;2;0;0;1;0;0;0;"20.04.2026"
"ваг с";"https://vag-s.ru/";1;26975;5;4;0;2;1;5000;0;0;0;0;0;0;0;"23.04.2026"
"вага сервис";"https://vag-s.ru/";1;6798;2;2;0;2;1;2000000;1;0;0;0;1;0;0;"25.04.2026"
"сервис vag";"https://vag-s.ru/";1;3517;288;68;8;2;3;2000000;87;0;0;0;0;1;0;"08.04.2026"
"вагсервис";"https://vag-s.ru/";1;301;105;105;34;1;4;9000000;41;0;0;0;0;0;0;"21.03.2026"
"vag service в москве талалихина";"https://vag-s.ru/";2;6;6;6;99;5;1;2000000;21;1;0;1;0;0;0;"16.02.2026"
"vag автосервис";"https://vag-s.ru/";2;901;93;19;10;2;0;917000;81;0;0;0;0;0;0;"24.02.2026"
"vag service царицыно";"https://vag-s.ru/contacts";2;4;1;1;24;3;0;1000000;5;1;0;1;0;0;0;"15.02.2026"
"сервисы vag";"https://vag-s.ru/";2;3517;3;2;0;2;4;2000000;31;0;0;1;0;-1;0;"08.04.2026"
"сервисы ваг";"https://vag-s.ru/";2;8938;13;7;0;2;4;2000000;18;0;0;0;0;4;0;"02.04.2026"
"сервисный центр vag";"https://vag-s.ru/";2;19;3;3;15;3;2;2000000;32;0;0;1;0;0;0;"11.02.2026"
"сервис ваг москва";"https://vag-s.ru/";2;570;76;11;13;3;7;2000000;135;1;0;1;0;0;0;"15.02.2026"
"сервис по вагу";"https://vag-s.ru/";2;204;3;3;1;3;0;2000000;29;0;0;1;0;0;0;"14.02.2026"
"vag service москва";"https://vag-s.ru/";2;70;2;2;2;3;2;2000000;5;1;0;0;0;0;0;"21.03.2026"
"ремонт вага";"https://vag-s.ru/";2;2123;4;4;0;2;4;79000;3;1;0;1;0;6;0;"21.04.2026"
"сервис по вагам";"https://vag-s.ru/";2;204;7;7;3;3;1;2000000;4;0;0;0;0;4;0;"23.04.2026"
