Запрос;Страница;Позиция;Базовая частотность;Точная частотность;Очень точная частотность;Эффективность ключевого слова;Количество слов в запросе;Количество объявлений;Документов найдено;Средняя цена клика;Является топонимом;Является вопросом;Число колдунщиков;Новый запрос;Изменение позиции;Смена URL;Дата выдачи;
"vagroup";"https://vagroup.ru/";1;38;8;8;21;1;0;7000000;1;0;0;1;0;0;0;"16.02.2026"
"ауди а4 замена масла";"https://vagroup.ru/audi/a4/zamena-masla-v-dvigatele";1;2174;11;2;0;4;0;1000000;49;0;0;1;0;0;0;"16.02.2026"
"то ауди";"https://vagroup.ru/audi/maintenance/regul_to";1;7120;36;7;0;2;2;0;163;0;0;0;0;0;0;"17.02.2026"
"ремонт бентли мульсан";"https://vagroup.ru/bentley/mulsanne";1;1;1;1;98;3;1;1000000;10;0;0;1;0;0;0;"09.03.2026"
"гур замена";"https://vagroup.ru/zamena-gidrousilitelya";1;77728;35;8;0;2;0;1000000;14;0;0;2;0;0;0;"20.02.2026"
"ваг групп";"https://vagroup.ru/";1;5128;461;456;8;2;1;1000000;10;0;0;0;0;4;0;"26.04.2026"
"ремонт ауди 100 2.3";"https://vagroup.ru/audi/100";1;117;2;2;1;4;1;3000000;0;0;0;1;1;0;0;"23.04.2026"
"ремонт ауди а8 в москве";"https://vagroup.ru/audi/a8";1;3;2;2;66;5;1;3000000;1;1;0;1;1;0;0;"24.04.2026"
"ремонт тормозов ауди";"https://vagroup.ru/audi/remont-tormoznoy-sistemy";1;74;2;2;2;3;2;79000;6;0;0;2;1;0;0;"21.04.2026"
"ремонт редукторов порше";"https://vagroup.ru/porsche/cayenne/remont-reduktorov";1;30;2;2;6;3;1;1000000;38;0;0;2;1;0;0;"24.04.2026"
"замена поршневых колец шкода фабия 1.2";"https://vagroup.ru/skoda/fabia/zamena-porshnevyh-kolec";1;5;3;3;59;6;1;4000000;0;0;0;0;0;5;0;"21.04.2026"
"замена помпы шкода октавия";"https://vagroup.ru/skoda/octavia/a7/zamena-pompi-zamena-vodyanogo-nasosa";1;1269;25;14;1;4;2;1000000;1;0;0;2;1;0;0;"02.04.2026"
"рапид сервис";"https://vagroup.ru/skoda/rapid";1;1896;3;3;0;2;2;2000000;4;0;0;1;0;0;0;"31.03.2026"
"замена наружного шруса шкода рапид";"https://vagroup.ru/skoda/rapid/zamena-shrusa";1;84;38;30;45;5;1;1000000;2;0;0;1;0;3;0;"09.04.2026"
"ремонт гольф плюс";"https://vagroup.ru/volkswagen/golf/plus";1;364;2;2;0;3;1;1000000;0;0;0;2;1;0;0;"24.04.2026"
"тигуан сервис";"https://vagroup.ru/volkswagen/tiguan";1;1781;7;3;0;2;2;2000000;52;0;0;0;0;3;0;"01.04.2026"
"замена масла в акпп тигуан";"https://vagroup.ru/volkswagen/tiguan/apparatnaya-zamena-masla-v-akpp";1;1400;74;34;5;5;1;1000000;9;0;0;2;0;0;0;"15.04.2026"
"замена масла акпп тигуан";"https://vagroup.ru/volkswagen/tiguan/apparatnaya-zamena-masla-v-akpp";1;1844;32;12;1;4;0;1000000;24;0;0;2;0;0;0;"13.04.2026"
"ремонт кондиционеров тигуан";"https://vagroup.ru/volkswagen/tiguan/remont-avtokondicionera";1;109;2;2;1;3;2;830000;0;0;0;1;1;0;0;"20.04.2026"
"замена пружины амортизатора";"https://vagroup.ru/zamena-pruzhin-amortizatorov";1;5437;15;15;0;3;2;0;6;0;0;3;0;1;0;"16.04.2026"
"замена амортизаторов и пружин";"https://vagroup.ru/zamena-pruzhin-amortizatorov";1;2159;8;2;0;4;3;172000;1;0;0;1;1;0;0;"10.04.2026"
"замена сальника акпп";"https://vagroup.ru/zamena-salnikov-akpp";1;6986;37;37;0;3;0;1000000;12;0;0;2;0;0;0;"12.02.2026"
"фольксваген ремонт";"https://vagroup.ru/";1;19438;98;21;0;2;1;1000000;201;0;0;1;1;0;0;"11.04.2026"
"ауди то";"https://vagroup.ru/audi/maintenance/regul_to";1;7027;29;13;0;2;5;94000;112;0;0;0;0;0;0;"03.03.2026"
"vag диагностика";"https://vagroup.ru/diagnostika";1;2378;63;12;2;2;0;914000;16;0;0;2;0;0;0;"15.02.2026"
"замена сцепления шкода";"https://vagroup.ru/skoda/octavia/zamena-scepleniya";1;3483;7;3;0;3;6;636000;2;0;0;2;0;0;0;"13.04.2026"
"замена масла фольксваген";"https://vagroup.ru/volkswagen/zamena-masla-v-dvigatele";1;15505;14;14;0;3;0;946000;19;0;0;1;0;0;0;"22.02.2026"
"замена акпп цена";"https://vagroup.ru/zamena-akpp";1;6018;18;13;0;3;1;2000000;10;0;0;1;0;0;0;"10.02.2026"
"замена гур";"https://vagroup.ru/zamena-gidrousilitelya";1;88080;40;35;0;2;1;1000000;31;0;0;2;0;0;0;"24.04.2026"
"замена гидроусилителя";"https://vagroup.ru/zamena-gidrousilitelya";1;16920;15;15;0;2;1;958000;8;0;0;2;0;0;0;"12.02.2026"
"замена пружин амортизаторов";"https://vagroup.ru/zamena-pruzhin-amortizatorov";1;5437;21;21;0;3;0;987000;11;0;0;2;0;13;0;"08.04.2026"
"ваг на";"https://vagroup.ru/";1;54703;27;27;0;2;1;3000000;0;0;0;1;0;4;0;"21.04.2026"
"ваг групп сервис";"https://vagroup.ru/";1;53;4;4;7;3;9;2000000;2;0;0;1;0;0;0;"14.04.2026"
"ваг автосервис";"https://vagroup.ru/";1;1488;118;30;7;2;12;1000000;94;0;0;1;0;0;0;"21.03.2026"
"замена грм ауди";"https://vagroup.ru/audi/engine/remen_grm";1;8387;6;3;0;3;13;949000;8;0;0;2;1;0;0;"05.04.2026"
"замена радиатора печки опель инсигния";"https://vagroup.ru/opel/insignia/remont-i-zamena-radiatora-pechki";1;11;3;3;27;5;0;905000;9;0;0;1;0;0;0;"10.02.2026"
"диагностика шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/diagnostika";1;286;8;8;2;4;1;3000000;61;0;0;2;0;5;0;"27.04.2026"
"замена сцепления шкода октавия";"https://vagroup.ru/skoda/octavia/zamena-scepleniya";1;1905;32;20;1;4;1;973000;2;0;0;2;0;2;0;"01.04.2026"
"замена шруса шкода";"https://vagroup.ru/skoda/zamena-shrusa";1;2122;2;2;0;3;0;744000;0;0;0;2;1;0;0;"27.04.2026"
"замена свечей зажигания шкода";"https://vagroup.ru/skoda/zamena-svechey-zazhiganiya";1;1720;2;2;0;4;0;789000;0;0;0;1;1;0;0;"27.04.2026"
"покраска амарока";"https://vagroup.ru/volkswagen/amarok/polnaya-pokraska-avtomobilya";1;5;1;1;19;2;1;814000;0;0;0;1;1;0;0;"25.04.2026"
"фольксваген поло сервис";"https://vagroup.ru/volkswagen/polo";1;759;10;2;1;3;1;2000000;40;0;0;1;0;9;0;"25.04.2026"
"замена термостата ауди а5";"https://vagroup.ru/audi/a5/zamena-avtomobilnogo-termostata";2;43;6;0;13;4;0;711;2;0;0;1;0;0;0;"16.02.2026"
"audi то";"https://vagroup.ru/audi/maintenance/regul_to";2;1879;3;1;0;2;1;2000000;19;0;0;0;0;0;0;"20.02.2026"
"замена задних амортизаторов опель мокка";"https://vagroup.ru/opel/mokka/zamena-zadnih-amortizatorov";2;22;7;4;31;5;0;1000000;2;0;0;0;0;0;0;"20.02.2026"
"опель мокка замена задних амортизаторов";"https://vagroup.ru/opel/mokka/zamena-zadnih-amortizatorov";2;24;6;1;24;5;1;891000;1;0;0;0;0;0;0;"16.02.2026"
"кузовной ремонт porsche цены";"https://vagroup.ru/porsche/kuzovnoj-remont";2;6;6;6;99;4;5;1000000;18;0;0;1;0;0;0;"15.02.2026"
"сервис шкода октавия";"https://vagroup.ru/skoda";2;1864;6;2;0;3;0;1000000;74;0;0;1;0;0;0;"24.02.2026"
"замена передних тормозных колодок шкода фабия";"https://vagroup.ru/skoda/fabia/zamena-perednih-tormoznyh-kolodok";2;33;11;9;33;6;1;941000;0;0;0;1;0;0;0;"15.02.2026"
"замена шаровых шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/zamena-sharovoy-opori";2;151;10;7;6;5;1;3000000;1;0;0;1;0;3;0;"12.04.2026"
"октавия а7 замена масла в акпп";"https://vagroup.ru/skoda/octavia/a7/polnaya-zamena-masla-v-akpp";2;363;6;2;1;6;2;0;4;0;0;0;0;0;0;"20.02.2026"
"шкода октавия а7 замена масла в акпп";"https://vagroup.ru/skoda/octavia/a7/zamena-masla-v-akpp";2;193;12;1;6;7;0;3000000;3;0;0;1;0;0;0;"19.02.2026"
"замена подушки двигателя октавия а7";"https://vagroup.ru/skoda/octavia/a7/zamena-podushek-dvigatelya";2;38;1;1;2;5;1;3000000;2;0;0;1;0;0;0;"02.02.2026"
"шкода октавия замена помпы";"https://vagroup.ru/skoda/octavia/a7/zamena-pompi-zamena-vodyanogo-nasosa";2;1667;65;31;3;4;0;1000000;4;0;0;1;0;0;0;"20.02.2026"
"замена рулевых наконечников шкода октавия а7";"https://vagroup.ru/skoda/octavia/a7/zamena-rulevih-nakonechnikov";2;19;10;8;52;6;0;3000000;0;0;0;2;0;0;0;"17.02.2026"
"шкода октавия замена сцепления";"https://vagroup.ru/skoda/octavia/zamena-scepleniya";2;1408;15;5;1;4;0;840000;17;0;0;1;0;0;0;"16.02.2026"
"замена цепи грм шкода румстер 1.6";"https://vagroup.ru/skoda/roomster/cep_grm";2;31;23;19;74;6;0;3000000;1;0;0;2;0;0;0;"17.02.2026"
"замена тормозной жидкости пассат сс";"https://vagroup.ru/volkswagen/passat-cc/zamena-tormoznoj-zhidkosti";2;6;3;3;49;5;0;1000000;0;0;0;1;0;0;0;"02.02.2026"
"vag group service";"https://vagroup.ru/";2;26;5;5;19;3;1;2000000;17;0;0;0;0;0;0;"25.04.2026"
"автосервисы ваг";"https://vagroup.ru/";2;1311;3;3;0;2;8;929000;1;0;0;2;0;1;0;"08.04.2026"
"сервис ауди 80";"https://vagroup.ru/audi/80";2;49;2;2;4;3;1;2000000;2;0;0;0;1;0;0;"22.04.2026"
"ремонт тнвд ауди а8 d4";"https://vagroup.ru/audi/a8/remont-tnvd-dizelnyh-dvigatelej";2;8;7;7;87;5;0;4000000;7;0;0;1;0;0;0;"12.02.2026"
"диагностика ауди";"https://vagroup.ru/audi/polnaya-diagnostika";2;3738;151;144;4;2;1;991000;104;0;0;1;0;1;0;"25.04.2026"
"замена сайлентблока audi q5";"https://vagroup.ru/audi/q5/zamena-sajlentblokov-podveski";2;27;2;2;7;4;1;3000000;0;0;0;2;1;0;0;"21.04.2026"
"замена стекла ауди тт";"https://vagroup.ru/audi/tt/zamena-lobovogo-stekla";2;6;2;2;33;4;0;872000;0;0;0;1;1;0;0;"24.04.2026"
"чистка кондиционера seat leon 2";"https://vagroup.ru/seat/leon/chistka-kondicionera";2;2;2;2;99;5;0;3000000;0;0;0;2;1;0;0;"23.04.2026"
"ремонт шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5";2;1860;10;7;0;4;3;3000000;69;0;0;1;0;3;0;"15.04.2026"
"покраска шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/polnaya-pokraska";2;184;19;17;10;4;1;3000000;2;0;0;0;0;0;0;"10.04.2026"
"ремонт порогов шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/remont-porogov";2;18;8;8;44;5;8;3000000;9;0;0;2;0;7;0;"08.04.2026"
"замена подушек двигателя шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/zamena-podushek-dvigatelya";2;100;5;5;4;6;1;3000000;0;0;0;2;0;5;0;"25.04.2026"
"замена сцепления на шкода октавия тур цена";"https://vagroup.ru/skoda/octavia/tour/remont-i-zamena-scepleniya";2;4;2;2;49;7;1;1000000;1;0;0;0;1;0;0;"21.04.2026"
"замена рулевых наконечников шкода октавия тур";"https://vagroup.ru/skoda/octavia/tour/zamena-rulevih-nakonechnikov";2;15;11;11;73;6;1;904000;1;0;0;1;0;0;0;"07.04.2026"
"замена сцепления на шкода октавия цена";"https://vagroup.ru/skoda/octavia/zamena-scepleniya";2;28;2;2;7;6;1;1000000;1;0;0;0;1;0;0;"22.04.2026"
"сервис шкода рапид";"https://vagroup.ru/skoda/rapid";2;1554;5;4;0;3;10;1000000;35;0;0;1;0;3;0;"31.03.2026"
"шкода румстер замена масла в акпп";"https://vagroup.ru/skoda/roomster/chastichnaya-zamena-masla-v-akpp";2;7;1;1;14;6;1;1000000;4;0;0;1;0;0;0;"16.02.2026"
"чистка дроссельной заслонки шкода йети";"https://vagroup.ru/skoda/yeti/chistka-drosselnoy-zaslonki";2;49;2;2;4;5;1;166000;0;0;0;2;1;0;0;"24.04.2026"
"замена выжимного подшипника поло седан";"https://vagroup.ru/volkswagen/polo/zamena-vyghimnogo-podshipnika";2;18;12;12;66;5;1;1000000;0;0;0;2;0;1;0;"10.04.2026"
"ремонт форсунок тигуан";"https://vagroup.ru/volkswagen/tiguan/remont-forsunok";2;48;2;2;4;3;1;261000;0;0;0;2;1;0;0;"22.04.2026"
"замена масла тигуан";"https://vagroup.ru/volkswagen/tiguan/zamena-masla-v-dvigatele";2;10737;19;13;0;3;3;1000000;10;0;0;2;0;-1;0;"08.04.2026"
"замена гура";"https://vagroup.ru/zamena-gidrousilitelya";2;88080;34;34;0;2;1;975000;5;0;0;1;0;0;0;"22.03.2026"
"диагностика двигателя шкода в москве";"https://vagroup.ru/skoda/diagnostika-dvigatelya";2;5;2;2;39;5;1;593000;0;1;0;1;1;0;0;"27.04.2026"
"skoda rapid сервис";"https://vagroup.ru/skoda/rapid";2;151;2;2;1;3;0;2000000;8;0;0;0;1;0;0;"27.04.2026"
"ремонт шкода октавия тур";"https://vagroup.ru/skoda/octavia/tour";2;1122;9;8;0;4;1;993000;11;0;0;2;0;5;0;"27.04.2026"
"замена масляного фильтра октавия а7";"https://vagroup.ru/skoda/octavia/a7/zamena-maslyanogo-filtra";2;24;4;2;16;5;0;3000000;0;0;0;2;1;0;0;"27.04.2026"
"севастопольский пр т 95а с 2";"https://vagroup.ru/";2;9;9;9;99;6;3;4000000;1;0;0;1;0;2;0;"03.04.2026"
"диагностика ауди 80";"https://vagroup.ru/audi/80/diagnostika";2;416;5;4;1;3;1;0;2;0;0;2;0;1;0;"22.04.2026"
"то на ауди а6";"https://vagroup.ru/audi/a6/tekhnicheskoe-obsluzhivanie";2;179;3;2;1;4;1;0;13;0;0;0;1;0;0;"27.04.2026"
"ауди q5 замена масла акпп";"https://vagroup.ru/audi/q5/apparatnaya-zamena-masla-v-akpp";2;334;10;2;2;5;1;3000000;1;0;0;3;0;0;0;"13.02.2026"
"замена датчика абс шкода октавия а5";"https://vagroup.ru/skoda/octavia/a5/zamena-datchika-ABS";2;118;11;11;9;6;0;3000000;3;0;0;2;0;0;0;"17.03.2026"
"октавия а5 замена масла в мкпп";"https://vagroup.ru/skoda/octavia/a5/zamena-masla-v-mkpp";2;248;14;9;5;6;0;3000000;0;0;0;2;0;4;0;"22.04.2026"
"покраска шкода октавия а7";"https://vagroup.ru/skoda/octavia/a7/polnaya-pokraska";2;113;9;9;7;4;6;536000;9;0;0;2;0;-1;0;"01.04.2026"
"замена пружин шкода октавия а7";"https://vagroup.ru/skoda/octavia/a7/zamena-pruzhini-podveski";2;267;17;16;6;5;0;3000000;0;0;0;2;0;0;0;"11.02.2026"
"шкода октавия замена масла акпп";"https://vagroup.ru/skoda/octavia/polnaya-zamena-masla-v-akpp";2;766;17;5;2;5;3;2000000;10;0;0;2;0;0;0;"03.03.2026"
"замена грм шкода рапид 1.6 цена";"https://vagroup.ru/skoda/rapid/zamena-remnya-grm";2;94;13;9;13;6;1;4000000;18;0;0;1;0;2;0;"27.04.2026"
"замена ремня грм шкода рапид";"https://vagroup.ru/skoda/rapid/zamena-remnya-grm";2;2131;149;97;6;5;3;797000;30;0;0;2;0;0;0;"02.02.2026"
"замена сальника коленвала шкода рапид";"https://vagroup.ru/skoda/rapid/zamena-salnika-kolenvala";2;96;5;2;5;5;2;958000;1;0;0;2;0;2;0;"12.04.2026"
"замена задних амортизаторов пассат сс";"https://vagroup.ru/volkswagen/passat-cc/zamena-zadnih-amortizatorov";2;7;4;4;56;5;0;1000000;0;0;0;1;0;1;0;"09.04.2026"
"замена масла в акпп фольксваген поло";"https://vagroup.ru/volkswagen/polo/polnaya-zamena-masla-v-akpp";2;1015;83;46;8;6;5;1000000;37;0;0;2;0;5;0;"08.04.2026"
"замена сальника распредвала фольксваген поло";"https://vagroup.ru/volkswagen/polo/zamena-salnika-raspredvala";2;94;14;7;14;5;0;897000;1;0;0;1;0;0;0;"16.02.2026"
"ваг центр";"https://vagroup.ru/";2;1288;93;93;7;2;0;1000000;51;0;0;1;0;4;0;"11.04.2026"
"ремонт ауди 100 с4";"https://vagroup.ru/audi/100";2;662;6;6;0;4;1;4000000;20;0;0;1;0;5;0;"02.04.2026"
"диагностика ауди 80 б3";"https://vagroup.ru/audi/80/diagnostika";2;68;10;9;14;4;0;3000000;2;0;0;0;0;2;0;"27.04.2026"
"замена масла audi q5";"https://vagroup.ru/audi/q5/ekspress-zamena-masla";2;677;12;5;1;4;1;2000000;17;0;0;2;0;5;0;"13.04.2026"
"регулировка развала audi q5";"https://vagroup.ru/audi/q5/skhod-razval";2;7;3;3;42;4;2;2000000;0;0;0;1;0;0;0;"27.04.2026"
